	initial	parent	pa	fragment	fa	lost	la	nr	bb	bbind
0	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH:1]([CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2)[NH2:12]	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12})	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[NH3:12]	frozenset({12})	1	1	[['1', '12']]
1	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH:1]([CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2)[NH2:12]	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12})	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[NH3:12]	frozenset({12})	1	1	"[[""1"", ""12""]]"
2	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH:1]([CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2)[NH2:12]	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12})	[CH3:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:0][CH2:1][NH2:12]	frozenset({0, 1, 12})	1	1	[['1', '2']]
3	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH:1]([CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2)[NH2:12]	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12})	[CH3:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:0][CH2:1][NH2:12]	frozenset({0, 1, 12})	1	1	"[[""1"", ""2""]]"
4	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:0][CH3:1]	frozenset({0, 1})	1	1	[['1', '2']]
5	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:0][CH3:1]	frozenset({0, 1})	1	1	"[[""1"", ""2""]]"
6	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([OH:9])[cH:7][cH:8]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9})	[CH3:10][OH:11]	frozenset({10, 11})	1	2	[['11', '5'], ['9', '10']]
7	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([OH:9])[cH:7][cH:8]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9})	[CH3:10][OH:11]	frozenset({10, 11})	1	2	"[[""11"", ""5""], [""9"", ""10""]]"
8	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]([OH:11])[cH:6][cH:7][cH:8]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 11})	[OH:9][CH3:10]	frozenset({9, 10})	1	2	[['6', '9'], ['10', '11']]
9	CC(CC1=CC2=C(C=C1)OCO2)N	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11})	[CH3:0][CH2:1][CH2:2][c:3]1[cH:4][c:5]([OH:11])[cH:6][cH:7][cH:8]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 11})	[OH:9][CH3:10]	frozenset({9, 10})	1	2	"[[""6"", ""9""], [""10"", ""11""]]"
